land,year,metric_type,value
Northern America,2019,Arable land (% of total land area),10.6
Northern America,2019,Permanent crops (% of total land area),0.2
Northern America,2019,Forest cover (% of total land area),35.5
Northern America,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),34.91
Northern America,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),34.93
Latin America & the Caribbean,2005,Land area (thousand hectares),2013990.0
Latin America & the Caribbean,2005,Arable land (thousand hectares),137629.0
Latin America & the Caribbean,2005,Permanent crops (thousand hectares),23866.0
Latin America & the Caribbean,2005,Forest cover (thousand hectares),995976.0
Latin America & the Caribbean,2005,Arable land (% of total land area),6.8
Latin America & the Caribbean,2005,Permanent crops (% of total land area),1.2
Latin America & the Caribbean,2005,Forest cover (% of total land area),49.5
Latin America & the Caribbean,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),31.18
Latin America & the Caribbean,2010,Land area (thousand hectares),2013993.0
Latin America & the Caribbean,2010,Arable land (thousand hectares),144877.0
Latin America & the Caribbean,2010,Permanent crops (thousand hectares),23523.0
Latin America & the Caribbean,2010,Forest cover (thousand hectares),968299.0
Latin America & the Caribbean,2010,Arable land (% of total land area),7.2
Latin America & the Caribbean,2010,Permanent crops (% of total land area),1.2
Latin America & the Caribbean,2010,Forest cover (% of total land area),48.1
Latin America & the Caribbean,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),35.79
Latin America & the Caribbean,2019,Land area (thousand hectares),2013717.0
Latin America & the Caribbean,2019,Arable land (thousand hectares),144846.0
Latin America & the Caribbean,2019,Permanent crops (thousand hectares),24098.0
Latin America & the Caribbean,2019,Forest cover (thousand hectares),942557.0
Latin America & the Caribbean,2019,Arable land (% of total land area),7.2
Latin America & the Caribbean,2019,Permanent crops (% of total land area),1.2
Latin America & the Caribbean,2019,Forest cover (% of total land area),46.8
Latin America & the Caribbean,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),39.82
Latin America & the Caribbean,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),39.92
Caribbean,2005,Land area (thousand hectares),22598.0
Caribbean,2005,Arable land (thousand hectares),5680.0
Caribbean,2005,Permanent crops (thousand hectares),1324.0
Caribbean,2005,Forest cover (thousand hectares),7152.0
Caribbean,2005,Arable land (% of total land area),25.1
Caribbean,2005,Permanent crops (% of total land area),5.9
Caribbean,2005,Forest cover (% of total land area),31.6
Caribbean,2010,Land area (thousand hectares),22598.0
Caribbean,2010,Arable land (thousand hectares),5568.0
Caribbean,2010,Permanent crops (thousand hectares),1298.0
Caribbean,2010,Forest cover (thousand hectares),7496.0
Caribbean,2010,Arable land (% of total land area),24.6
Caribbean,2010,Permanent crops (% of total land area),5.7
Caribbean,2010,Forest cover (% of total land area),33.2
Caribbean,2019,Land area (thousand hectares),22334.0
Caribbean,2019,Arable land (thousand hectares),5230.0
Caribbean,2019,Permanent crops (thousand hectares),1466.0
Caribbean,2019,Forest cover (thousand hectares),7879.0
Caribbean,2019,Arable land (% of total land area),23.4
Caribbean,2019,Permanent crops (% of total land area),6.6
Caribbean,2019,Forest cover (% of total land area),35.3
Central America,2005,Land area (thousand hectares),245227.0
Central America,2005,Arable land (thousand hectares),29182.0
Central America,2005,Permanent crops (thousand hectares),4837.0
Central America,2005,Forest cover (thousand hectares),92425.0
Central America,2005,Arable land (% of total land area),11.9
Central America,2005,Permanent crops (% of total land area),2.0
Central America,2005,Forest cover (% of total land area),37.7
Central America,2010,Land area (thousand hectares),245227.0
Central America,2010,Arable land (thousand hectares),28204.0
Central America,2010,Permanent crops (thousand hectares),5148.0
Central America,2010,Forest cover (thousand hectares),90649.0
Central America,2010,Arable land (% of total land area),11.5
Central America,2010,Permanent crops (% of total land area),2.1
Central America,2010,Forest cover (% of total land area),37.0
Central America,2019,Land area (thousand hectares),245211.0
Central America,2019,Arable land (thousand hectares),24417.0
Central America,2019,Permanent crops (thousand hectares),5472.0
Central America,2019,Forest cover (thousand hectares),88367.0
Central America,2019,Arable land (% of total land area),10.0
Central America,2019,Permanent crops (% of total land area),2.2
Central America,2019,Forest cover (% of total land area),36.0
South America,2005,Land area (thousand hectares),1746165.0
South America,2005,Arable land (thousand hectares),102768.0
South America,2005,Permanent crops (thousand hectares),17705.0
South America,2005,Forest cover (thousand hectares),896400.0
South America,2005,Arable land (% of total land area),5.9
South America,2005,Permanent crops (% of total land area),1.0
South America,2005,Forest cover (% of total land area),51.3
South America,2010,Land area (thousand hectares),1746168.0
South America,2010,Arable land (thousand hectares),111105.0
South America,2010,Permanent crops (thousand hectares),17077.0
South America,2010,Forest cover (thousand hectares),870154.0
South America,2010,Arable land (% of total land area),6.4
South America,2010,Permanent crops (% of total land area),1.0
South America,2010,Forest cover (% of total land area),49.8
South America,2019,Land area (thousand hectares),1746172.0
South America,2019,Arable land (thousand hectares),115199.0
South America,2019,Permanent crops (thousand hectares),17160.0
South America,2019,Forest cover (thousand hectares),846311.0
South America,2019,Arable land (% of total land area),6.6
South America,2019,Permanent crops (% of total land area),1.0
South America,2019,Forest cover (% of total land area),48.5
Asia,2005,Land area (thousand hectares),3110223.0
Asia,2005,Arable land (thousand hectares),500997.0
Asia,2005,Permanent crops (thousand hectares),70539.0
Asia,2005,Forest cover (thousand hectares),599185.0
Asia,2005,Arable land (% of total land area),16.1
Asia,2005,Permanent crops (% of total land area),2.3
Asia,2005,Forest cover (% of total land area),19.3
Asia,2010,Land area (thousand hectares),3110342.0
Asia,2010,Arable land (thousand hectares),494680.0
Asia,2010,Permanent crops (thousand hectares),81198.0
Asia,2010,Forest cover (thousand hectares),610960.0
Asia,2010,Arable land (% of total land area),15.9
Asia,2010,Permanent crops (% of total land area),2.6
Asia,2010,Forest cover (% of total land area),19.6
Asia,2019,Land area (thousand hectares),3110576.0
Asia,2019,Arable land (thousand hectares),498574.0
Asia,2019,Permanent crops (thousand hectares),91497.0
Asia,2019,Forest cover (thousand hectares),621427.0
Asia,2019,Arable land (% of total land area),16.0
Asia,2019,Permanent crops (% of total land area),2.9
Asia,2019,Forest cover (% of total land area),20.0
Central Asia,2005,Land area (thousand hectares),393724.0
Central Asia,2005,Arable land (thousand hectares),37010.0
Central Asia,2005,Permanent crops (thousand hectares),714.0
Central Asia,2005,Forest cover (thousand hectares),12017.0
Central Asia,2005,Arable land (% of total land area),9.4
Central Asia,2005,Permanent crops (% of total land area),0.2
Central Asia,2005,Forest cover (% of total land area),3.1
Central Asia,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),19.74
Central Asia,2010,Land area (thousand hectares),393728.0
Central Asia,2010,Arable land (thousand hectares),36819.0
Central Asia,2010,Permanent crops (thousand hectares),743.0
Central Asia,2010,Forest cover (thousand hectares),12198.0
Central Asia,2010,Arable land (% of total land area),9.4
Central Asia,2010,Permanent crops (% of total land area),0.2
Central Asia,2010,Forest cover (% of total land area),3.1
Central Asia,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),20.74
Central Asia,2019,Land area (thousand hectares),394078.0
Central Asia,2019,Arable land (thousand hectares),37818.0
Central Asia,2019,Permanent crops (thousand hectares),825.0
Central Asia,2019,Forest cover (thousand hectares),12936.0
Central Asia,2019,Arable land (% of total land area),9.6
Central Asia,2019,Permanent crops (% of total land area),0.2
Central Asia,2019,Forest cover (% of total land area),3.3
Central Asia,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),22.43
Central Asia,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),22.43
Eastern Asia,2005,Land area (thousand hectares),1156090.0
Eastern Asia,2005,Arable land (thousand hectares),130794.0
Eastern Asia,2005,Permanent crops (thousand hectares),13296.0
Eastern Asia,2005,Forest cover (thousand hectares),240730.0
Eastern Asia,2005,Arable land (% of total land area),11.3
Eastern Asia,2005,Permanent crops (% of total land area),1.2
Eastern Asia,2005,Forest cover (% of total land area),20.8
Eastern Asia,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),19.06
Eastern Asia,2010,Land area (thousand hectares),1156410.0
Eastern Asia,2010,Arable land (thousand hectares),130795.0
Eastern Asia,2010,Permanent crops (thousand hectares),15468.0
Eastern Asia,2010,Forest cover (thousand hectares),252390.0
Eastern Asia,2010,Arable land (% of total land area),11.3
Eastern Asia,2010,Permanent crops (% of total land area),1.3
Eastern Asia,2010,Forest cover (% of total land area),21.8
Eastern Asia,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),21.57
Eastern Asia,2019,Land area (thousand hectares),1156447.0
Eastern Asia,2019,Arable land (thousand hectares),128571.0
Eastern Asia,2019,Permanent crops (thousand hectares),16996.0
Eastern Asia,2019,Forest cover (thousand hectares),269556.0
Eastern Asia,2019,Arable land (% of total land area),11.1
Eastern Asia,2019,Permanent crops (% of total land area),1.5
Eastern Asia,2019,Forest cover (% of total land area),23.3
Eastern Asia,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),26.41
Eastern Asia,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),26.54
South-eastern Asia,2005,Land area (thousand hectares),440948.0
South-eastern Asia,2005,Arable land (thousand hectares),65540.0
South-eastern Asia,2005,Permanent crops (thousand hectares),36521.0
South-eastern Asia,2005,Forest cover (thousand hectares),221356.0
South-eastern Asia,2005,Arable land (% of total land area),14.9
South-eastern Asia,2005,Permanent crops (% of total land area),8.3
South-eastern Asia,2005,Forest cover (% of total land area),50.2
South-eastern Asia,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),23.23
South-eastern Asia,2010,Land area (thousand hectares),440985.0
South-eastern Asia,2010,Arable land (thousand hectares),68117.0
South-eastern Asia,2010,Permanent crops (thousand hectares),42500.0
South-eastern Asia,2010,Forest cover (thousand hectares),219211.0
South-eastern Asia,2010,Arable land (% of total land area),15.4
South-eastern Asia,2010,Permanent crops (% of total land area),9.6
South-eastern Asia,2010,Forest cover (% of total land area),49.7
South-eastern Asia,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),28.23
South-eastern Asia,2019,Land area (thousand hectares),440943.0
South-eastern Asia,2019,Arable land (thousand hectares),72886.0
South-eastern Asia,2019,Permanent crops (thousand hectares),49222.0
South-eastern Asia,2019,Forest cover (thousand hectares),208539.0
South-eastern Asia,2019,Arable land (% of total land area),16.5
South-eastern Asia,2019,Permanent crops (% of total land area),11.2
South-eastern Asia,2019,Forest cover (% of total land area),47.3
South-eastern Asia,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),36.39
South-eastern Asia,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),36.55
Southern Asia,2005,Land area (thousand hectares),639971.0
Southern Asia,2005,Arable land (thousand hectares),225413.0
Southern Asia,2005,Permanent crops (thousand hectares),14631.0
Southern Asia,2005,Forest cover (thousand hectares),96630.0
Southern Asia,2005,Arable land (% of total land area),35.2
Southern Asia,2005,Permanent crops (% of total land area),2.3
Southern Asia,2005,Forest cover (% of total land area),15.1
Southern Asia,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),13.57
Southern Asia,2010,Land area (thousand hectares),639971.0
Southern Asia,2010,Arable land (thousand hectares),220858.0
Southern Asia,2010,Permanent crops (thousand hectares),16864.0
Southern Asia,2010,Forest cover (thousand hectares),98150.0
Southern Asia,2010,Arable land (% of total land area),34.5
Southern Asia,2010,Permanent crops (% of total land area),2.6
Southern Asia,2010,Forest cover (% of total land area),15.3
Southern Asia,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),14.49
Southern Asia,2019,Land area (thousand hectares),639888.0
Southern Asia,2019,Arable land (thousand hectares),221557.0
Southern Asia,2019,Permanent crops (thousand hectares),18206.0
Southern Asia,2019,Forest cover (thousand hectares),100298.0
Southern Asia,2019,Arable land (% of total land area),34.6
Southern Asia,2019,Permanent crops (% of total land area),2.8
Southern Asia,2019,Forest cover (% of total land area),15.7
Southern Asia,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),18.33
Southern Asia,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),18.64
Western Asia,2005,Land area (thousand hectares),479491.0
Western Asia,2005,Arable land (thousand hectares),42240.0
Western Asia,2005,Permanent crops (thousand hectares),5377.0
Western Asia,2005,Forest cover (thousand hectares),28451.0
Western Asia,2005,Arable land (% of total land area),8.8
Western Asia,2005,Permanent crops (% of total land area),1.1
Western Asia,2005,Forest cover (% of total land area),5.9
Western Asia,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),10.23
Western Asia,2010,Land area (thousand hectares),479248.0
Western Asia,2010,Arable land (thousand hectares),38091.0
Western Asia,2010,Permanent crops (thousand hectares),5623.0
Western Asia,2010,Forest cover (thousand hectares),29010.0
Western Asia,2010,Arable land (% of total land area),7.9
Western Asia,2010,Permanent crops (% of total land area),1.2
Western Asia,2010,Forest cover (% of total land area),6.1
Western Asia,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),16.07
Western Asia,2019,Land area (thousand hectares),479220.0
Western Asia,2019,Arable land (thousand hectares),37742.0
Western Asia,2019,Permanent crops (thousand hectares),6249.0
Western Asia,2019,Forest cover (thousand hectares),30098.0
Western Asia,2019,Arable land (% of total land area),7.9
Western Asia,2019,Permanent crops (% of total land area),1.3
Western Asia,2019,Forest cover (% of total land area),6.3
Western Asia,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),18.41
Western Asia,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),18.41
Europe,2005,Land area (thousand hectares),2213742.0
Europe,2005,Arable land (thousand hectares),278684.0
Europe,2005,Permanent crops (thousand hectares),16099.0
Europe,2005,Forest cover (thousand hectares),1008125.0
Europe,2005,Arable land (% of total land area),12.6
Europe,2005,Permanent crops (% of total land area),0.7
Europe,2005,Forest cover (% of total land area),45.5
Europe,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),53.09
Europe,2010,Land area (thousand hectares),2213252.0
Europe,2010,Arable land (thousand hectares),274687.0
Europe,2010,Permanent crops (thousand hectares),15534.0
Europe,2010,Forest cover (thousand hectares),1013982.0
Europe,2010,Arable land (% of total land area),12.4
Europe,2010,Permanent crops (% of total land area),0.7
Europe,2010,Forest cover (% of total land area),45.8
Europe,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),62.55
Europe,2019,Land area (thousand hectares),2213501.0
Europe,2019,Arable land (thousand hectares),273371.0
Europe,2019,Permanent crops (thousand hectares),15424.0
Europe,2019,Forest cover (thousand hectares),1017239.0
Europe,2019,Arable land (% of total land area),12.4
Europe,2019,Permanent crops (% of total land area),0.7
Europe,2019,Forest cover (% of total land area),46.0
Europe,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),67.22
Europe,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),67.23
Eastern Europe,2005,Land area (thousand hectares),1805641.0
Eastern Europe,2005,Arable land (thousand hectares),194611.0
Eastern Europe,2005,Permanent crops (thousand hectares),4468.0
Eastern Europe,2005,Forest cover (thousand hectares),856273.0
Eastern Europe,2005,Arable land (% of total land area),10.8
Eastern Europe,2005,Permanent crops (% of total land area),0.2
Eastern Europe,2005,Forest cover (% of total land area),47.4
Eastern Europe,2010,Land area (thousand hectares),1805268.0
Eastern Europe,2010,Arable land (thousand hectares),192967.0
Eastern Europe,2010,Permanent crops (thousand hectares),4381.0
Eastern Europe,2010,Forest cover (thousand hectares),859891.0
Eastern Europe,2010,Arable land (% of total land area),10.7
Eastern Europe,2010,Permanent crops (% of total land area),0.2
Eastern Europe,2010,Forest cover (% of total land area),47.6
Eastern Europe,2019,Land area (thousand hectares),1805342.0
